source_fold,cell,group,n,pred_range_pp,pred_sd_pp,y_range_pp,y_sd_pp,constant_within_1e_8_pp,mae,rmse,p95_ae
XJTU__3C,PL11,B123,870,0.38008078213706,0.018016896392576216,21.94696068763733,6.184452035592647,False,8.803837885874753,10.757923137992538,19.39965136193981
XJTU__3C,PL11,B1234,870,0.38008078213706,0.018016896392576216,21.94696068763733,6.184452035592647,False,8.803837885874753,10.757923137992538,19.39965136193981
XJTU__3C,PL12,B,972,0.0,0.0,70.89278101921082,12.610177236830344,True,16.252845611591887,20.328540446888493,39.9070644378662
XJTU__3C,PL12,B1,972,2.0110090959146176,0.1749377764450419,70.89278101921082,12.610177236830344,False,16.247871318711553,20.328456496723575,39.90706443786659
XJTU__3C,PL12,B12,972,1.6129968790148386,0.14031467485696053,70.89278101921082,12.610177236830344,False,18.123947866637884,21.94749005769955,41.92328046502885
XJTU__3C,PL12,B123,972,1.6129968790148386,0.14031467485696053,70.89278101921082,12.610177236830344,False,18.123947866637884,21.94749005769955,41.92328046502885
XJTU__3C,PL12,B1234,972,1.6129968790148386,0.14031467485696053,70.89278101921082,12.610177236830344,False,18.123947866637884,21.94749005769955,41.92328046502885
XJTU__3C,PL13,B,871,0.0,0.0,20.845073461532593,5.7177318887529545,True,7.650869249886952,9.54504898294256,17.674267292022705
XJTU__3C,PL13,B1,871,0.552598326214071,0.04479043695109616,20.845073461532593,5.7177318887529545,False,7.648564963748183,9.544989752688469,17.674267292022705
XJTU__3C,PL13,B12,871,0.5353296285198872,0.043390735796374286,20.845073461532593,5.7177318887529545,False,7.88135731836295,9.733074126267052,17.907757950403415
XJTU__3C,PL13,B123,871,0.5353296285198872,0.043390735796374286,20.845073461532593,5.7177318887529545,False,7.88135731836295,9.733074126267052,17.907757950403415
XJTU__3C,PL13,B1234,871,0.5353296285198872,0.043390735796374286,20.845073461532593,5.7177318887529545,False,7.88135731836295,9.733074126267052,17.907757950403415
XJTU__3C,PL14,B,986,0.0,0.0,56.190282106399536,9.764944938004797,True,8.389182125820833,10.499458351483675,21.741923689842224
XJTU__3C,PL14,B1,986,0.8702406063781809,0.05528812195604571,56.190282106399536,9.764944938004797,False,8.388879228438887,10.496194087727607,21.741923689845155
XJTU__3C,PL14,B12,986,0.6798754737329604,0.04319384527816077,56.190282106399536,9.764944938004797,False,8.44773201796305,10.595915867564429,22.0042056920185
XJTU__3C,PL14,B123,986,0.6798754737329604,0.04319384527816077,56.190282106399536,9.764944938004797,False,8.44773201796305,10.595915867564429,22.0042056920185
XJTU__3C,PL14,B1234,986,0.6798754737329604,0.04319384527816077,56.190282106399536,9.764944938004797,False,8.44773201796305,10.595915867564429,22.0042056920185
XJTU__R2.5,CS2_5,B,59,0.0,0.0,5.423128604888916,1.5143474477755627,True,3.706814272929046,4.004212812348372,5.9161001443862915
