dataset,group,cells,domains,points,mae,rmse,p95_ae,bias,bias_fraction,top5_error_share
Tongji,B3__wave_absolute_pls4__0.5,130,11,57733,6.495181859061784,8.019416059760704,14.82550635954319,3.6298278836819917,0.8195494614078188,0.14033577744026277
Tongji,B3__wave_absolute_pls4__0.75,130,11,57733,6.409932470693729,7.914304399324408,14.629982617931974,3.621102095106622,0.8214093126154093,0.1402696473846776
Tongji,B3__wave_absolute_pls4__1,130,11,57733,6.325970987080086,7.811005559790778,14.439253011412717,3.6123763065312526,0.8235571060281544,0.14020469186257106
Tongji,B3__wave_pair_pca8__0.25,130,11,57733,6.254978537449356,7.731264608866203,14.286361238741232,3.4181625854541875,0.8167597179704856,0.14105295342746738
Tongji,B3__wave_pair_pca8__0.5,130,11,57733,5.845875503743775,7.233759071121137,13.347729642387502,3.1890457100756437,0.8175324280707525,0.14173475909747613
Tongji,B3__wave_pair_pca8__0.75,130,11,57733,5.4440100678202805,6.744432060591367,12.432659537049481,2.9599288346970996,0.8176532400082686,0.14258563391151655
Tongji,B3__wave_pair_pca8__1,130,11,57733,5.052363273767719,6.267240017965414,11.497292374220788,2.7308119593185554,0.8165350134853498,0.14354546597605775
Tongji,B3__wave_pair_pls4__0.25,130,11,57733,6.451763222742771,7.990802847785324,14.801620073871806,3.565438650874174,0.8164906677603213,0.14150194731107726
Tongji,B3__wave_pair_pls4__0.5,130,11,57733,6.235162436208915,7.749504735539094,14.375761601395327,3.483597840915616,0.8173363652303071,0.14266630726568363
Tongji,B3__wave_pair_pls4__0.75,130,11,57733,6.019911772850151,7.5109640125193975,13.963720952772576,3.401757030957059,0.8181673452286223,0.1439965559806258
Tongji,B3__wave_pair_pls4__1,130,11,57733,5.806893265881114,7.275626915869355,13.528601437634377,3.319916220998501,0.8188028047984105,0.14547995879865264
XJTU,B,55,6,13407,3.011538768507012,3.8270559760611955,7.230999424484278,-0.0650698296304895,0.6352780769163547,0.18945423252879393
