dataset,domain,group,mae,rmse,p95_ae,low_mae,low_rmse,low_p95_ae
Tongji,Tongji2_CY35-05_1,B,4.855123574129321,6.592426872280703,13.78190517006573,3.320083778370843,4.6664597553026095,10.86147745227321
Tongji,Tongji2_CY35-05_1,B1,6.113395380303193,7.505149350212161,12.395152831148732,7.427164562183774,8.435454551394145,12.47134745054204
Tongji,Tongji2_CY35-05_1,B2,0.5047580327266439,0.6055757916778508,1.0840736332474044,0.520873608264169,0.6036660339509063,1.048130047460977
Tongji,Tongji2_CY35-05_1,B12,0.7949921284139759,0.9518036015572866,1.7011280906534836,0.6652216325179632,0.791211796815365,1.392291053282534
Tongji,Tongji2_CY35-05_1,B3,4.855123574129321,6.592426872280703,13.78190517006573,3.320083778370843,4.6664597553026095,10.86147745227321
Tongji,Tongji2_CY35-05_1,B13,6.113395380303193,7.505149350212161,12.395152831148732,7.427164562183774,8.435454551394145,12.47134745054204
Tongji,Tongji2_CY35-05_1,B23,0.5047580327266439,0.6055757916778508,1.0840736332474044,0.520873608264169,0.6036660339509063,1.048130047460977
Tongji,Tongji2_CY35-05_1,B123,0.7949921284139759,0.9518036015572866,1.7011280906534836,0.6652216325179632,0.791211796815365,1.392291053282534
Tongji,Tongji2_CY35-05_1,B4,4.271058763659887,5.817820313872527,12.153134525107014,2.9158789958514415,4.131448726990515,9.638185806575548
Tongji,Tongji2_CY35-05_1,B14,5.283513836008609,6.509525026206708,10.789224267774063,6.407455711525941,7.313155825950419,10.866994372985133
Tongji,Tongji2_CY35-05_1,B24,0.44257633648524874,0.5358759440251074,0.9796851574840042,0.4417224781119153,0.5196831927767196,0.9133414508597281
Tongji,Tongji2_CY35-05_1,B124,0.7264442068535489,0.870735685527158,1.5581822996538586,0.604192661255746,0.7252776847693874,1.3095720501195507
Tongji,Tongji2_CY35-05_1,B34,4.271058763659887,5.817820313872527,12.153134525107014,2.9158789958514415,4.131448726990515,9.638185806575548
Tongji,Tongji2_CY35-05_1,B134,5.283513836008609,6.509525026206708,10.789224267774063,6.407455711525941,7.313155825950419,10.866994372985133
Tongji,Tongji2_CY35-05_1,B234,0.44257633648524874,0.5358759440251074,0.9796851574840042,0.4417224781119153,0.5196831927767196,0.9133414508597281
